,short_name,age,nationality_name,height_cm,weight_kg,overall,value_eur,wage_eur,club_name
0,L. Messi,34,Argentina,170,72,93,78000000.0,320000.0,Paris Saint-Germain
1,R. Lewandowski,32,Poland,185,81,92,119500000.0,270000.0,FC Bayern München
2,Cristiano Ronaldo,36,Portugal,187,83,91,45000000.0,270000.0,Manchester United
3,Neymar Jr,29,Brazil,175,68,91,129000000.0,270000.0,Paris Saint-Germain
4,K. De Bruyne,30,Belgium,181,70,91,125500000.0,350000.0,Manchester City
5,J. Oblak,28,Slovenia,188,87,91,112000000.0,130000.0,Atlético de Madrid
6,K. Mbappé,22,France,182,73,91,194000000.0,230000.0,Paris Saint-Germain
7,M. Neuer,35,Germany,193,93,90,13500000.0,86000.0,FC Bayern München
8,M. ter Stegen,29,Germany,187,85,90,99000000.0,250000.0,FC Barcelona
9,H. Kane,27,England,188,89,90,129500000.0,240000.0,Tottenham Hotspur
10,N. Kanté,30,France,168,70,90,100000000.0,230000.0,Chelsea
11,K. Benzema,33,France,185,81,89,66000000.0,350000.0,Real Madrid CF
12,T. Courtois,29,Belgium,199,96,89,85500000.0,250000.0,Real Madrid CF
13,H. Son,28,Korea Republic,183,78,89,104000000.0,220000.0,Tottenham Hotspur
14,Casemiro,29,Brazil,185,84,89,88000000.0,310000.0,Real Madrid CF
15,V. van Dijk,29,Netherlands,193,92,89,86000000.0,230000.0,Liverpool
16,S. Mané,29,Senegal,175,69,89,101000000.0,270000.0,Liverpool
17,M. Salah,29,Egypt,175,71,89,101000000.0,270000.0,Liverpool
18,Ederson,27,Brazil,188,86,89,94000000.0,200000.0,Manchester City
19,J. Kimmich,26,Germany,177,75,89,108000000.0,160000.0,FC Bayern München
20,Alisson,28,Brazil,191,91,89,82000000.0,190000.0,Liverpool
21,G. Donnarumma,22,Italy,196,90,89,119500000.0,110000.0,Paris Saint-Germain
22,Sergio Ramos,35,Spain,184,82,88,24000000.0,115000.0,Paris Saint-Germain
23,L. Suárez,34,Uruguay,182,83,88,44500000.0,135000.0,Atlético de Madrid
24,T. Kroos,31,Germany,183,76,88,75000000.0,310000.0,Real Madrid CF
25,R. Lukaku,28,Belgium,191,94,88,93500000.0,260000.0,Chelsea
26,K. Navas,34,Costa Rica,185,80,88,15500000.0,130000.0,Paris Saint-Germain
27,R. Sterling,26,England,170,69,88,107500000.0,290000.0,Manchester City
